experiment,1,2,4,6,8
1,423.636019653,618.654146818,336.927916673,340.996583472,415.911260872
2,478.176607066,759.672071278,588.810916508,546.327791045,657.648137979
3,502.331193658,1118.005673259,379.942413502,476.748410178,864.762603941
4,644.021205261,407.767436992,1268.132489683,1925.378629769,1344.756493877
5,420.036365270,531.037881083,719.445992858,783.531708312,1931.817773006
6,631.349269488,525.512740648,1397.884262411,469.344386617,749.224637466
7,702.634984516,573.710434718,393.401541596,934.155091846,1277.648753141
8,420.831435967,809.206238630,919.108823106,670.345732906,2024.334341323
9,413.862588289,3774.820537515,1748.071581100,1937.304399803,924.129109757
10,801.382370286,2421.794048303,442.559099882,408.278112610,1512.778852175
11,429.987671460,803.529750334,604.305009570,524.556781952,1869.585582152
12,425.059346605,773.157335683,756.357868700,1300.079361117,1207.752589101
13,769.776404003,847.994376936,2906.407526891,1296.394678866,981.165430714
