experiment,1,2,4,6,8
1,423.636019653,618.654146818,336.927916673,340.996583472,415.911260872
2,478.176607066,759.672071278,588.810916508,546.327791045,657.648137979
3,502.331193658,1118.005673259,379.942413502,476.748410178,864.762603941
