experiment,1,2,4,8,16,24,32,64
1,3003.270428471,2177.596041388,1073.385517903,799.570125779,671.501194769,462.946667221,488.110381496,507.767112064
2,3754.283853280,2956.818286712,1070.684456264,843.709825179,585.005403563,879.235256325,473.333866875,397.254884607
3,3717.067875095,1900.920329794,1647.772193707,776.449758279,586.504827522,495.307539056,491.915377923,429.838009007
4,3343.975298435,2103.596192011,1635.662750318,1055.420752183,629.655975629,700.697854392,514.523956842,396.706821304
5,3571.882281990,2330.185374501,1748.388191730,846.155491326,613.142979383,594.003321412,475.985095933,390.604271843
6,3134.509697565,2469.610185152,2028.330309631,864.206590486,582.542379317,615.246730097,508.704041658,390.328919414
7,3154.470315346,1586.820516983,1057.047881777,935.332776722,822.925030651,713.501737734,546.512387969,404.171667419
8,3832.272397638,2304.821350297,1542.035834573,912.822718650,664.803631411,600.095189759,602.202661050,429.712622399
9,3542.079442125,1725.796622726,1897.772025547,1053.642004148,652.986760418,504.486609052,507.116437907,448.121576747
10,3529.882318122,1946.191310842,1631.243938656,839.712997187,612.275770138,577.520673913,452.695474447,409.432189019
